,time,latitude,longitude,depth,mag,magType,id,updated,place,type,horizontalError,depthError,locationSource,magSource
81,2015-12-09 10:21:48.530000+00:00,-4.1064,129.5079,21.0,6.9,mww,us20004ft7,2022-08-01T22:40:17.187Z,"107 km SE of Amahai, Indonesia",earthquake,5.8,1.7,us,us
82,2015-12-08 18:35:19.420000+00:00,0.9884,127.5123,10.04,5.0,mb,us20004fma,2016-03-02T03:36:39.040Z,"26 km NNE of Ternate, Indonesia",earthquake,5.7,4.6,us,us
83,2015-12-08 12:56:07.420000+00:00,-30.8096,-71.7519,25.0,5.6,mww,us1000454p,2022-08-01T22:30:09.437Z,"57 km WSW of Ovalle, Chile",earthquake,2.9,1.7,us,us
84,2015-12-07 22:53:35.110000+00:00,14.2197,-90.8905,84.0,5.7,mww,us100044xh,2022-08-01T22:23:36.624Z,"4 km WNW of Masagua, Guatemala",earthquake,7.2,1.8,us,us
85,2015-12-07 10:04:58.310000+00:00,38.6494,73.2011,19.87,5.4,mwr,us100044lp,2022-05-03T19:17:58.162Z,"85 km NW of Murghob, Tajikistan",earthquake,5.7,3.4,us,us
86,2015-12-07 08:30:56.730000+00:00,41.7307,74.6053,21.53,5.5,mb,us100044km,2022-08-01T22:15:44.480Z,"116 km SSE of Sosnovka, Kyrgyzstan",earthquake,4.6,3.2,us,us
87,2015-12-07 08:09:44.860000+00:00,38.4507,73.2848,10.0,5.2,mb,us20004g5k,2016-03-02T03:36:36.040Z,"67 km WNW of Murghob, Tajikistan",earthquake,6.5,2.0,us,us
88,2015-12-07 07:59:09.970000+00:00,38.7467,72.8461,17.92,5.3,mb,us20004g6m,2016-03-02T03:36:36.040Z,"103 km SSE of Kyzyl-Eshme, Kyrgyzstan",earthquake,6.0,5.2,us,us
89,2015-12-07 07:51:11.430000+00:00,-31.3985,-71.2624,49.53,5.5,mwr,us100044k5,2022-08-01T22:12:44.853Z,"27 km NNW of Illapel, Chile",earthquake,5.2,4.2,us,guc
90,2015-12-07 07:50:05.950000+00:00,38.2107,72.7797,22.0,7.2,mww,us100044k6,2022-08-01T22:13:43.941Z,"104 km W of Murghob, Tajikistan",earthquake,5.5,1.7,us,us
91,2015-12-07 02:54:39.650000+00:00,-17.6527,-174.3807,10.0,5.2,mb,us100044j9,2022-05-03T17:36:45.486Z,"118 km NNW of Neiafu, Tonga",earthquake,9.3,1.8,us,us
92,2015-12-07 01:47:08.470000+00:00,-30.135,-177.6017,32.46,5.4,mb,us100044iy,2016-11-10T22:03:45.627Z,"Kermadec Islands, New Zealand",earthquake,9.8,3.7,us,us
93,2015-12-06 19:51:35.470000+00:00,-10.649,164.0862,38.88,5.4,mb,us100044h9,2016-11-10T22:03:43.466Z,"187 km W of Lata, Solomon Islands",earthquake,10.7,8.1,us,us
94,2015-12-06 19:16:36.950000+00:00,-48.2124,-10.0798,10.0,5.0,mb,us100044h6,2016-11-10T22:03:42.346Z,southern Mid-Atlantic Ridge,earthquake,12.5,1.9,us,us
95,2015-12-06 17:09:29.330000+00:00,-18.1602,-178.694,547.0,5.6,mww,us100044gf,2022-05-03T17:37:09.212Z,"210 km E of Levuka, Fiji",earthquake,10.0,1.9,us,us
96,2015-12-06 04:03:08.170000+00:00,-7.2346,155.0421,11.12,5.3,mb,us100044dd,2022-05-03T17:36:47.762Z,"112 km SSW of Panguna, Papua New Guinea",earthquake,8.0,3.7,us,us
97,2015-12-05 22:59:43.940000+00:00,43.8592,85.3132,10.0,5.0,mb,us10004eba,2016-03-02T03:36:33.040Z,"76 km SW of Shihezi, China",earthquake,8.1,1.8,us,us
